sgRNA_TF	WMW_pValue	sgRNA	TF	WMW_qValue	WMW_logFDR	diff_med	Diff	sign_WMW_logFDR
sgCD3E_sgGuide2__AR_689	3.76102546276947e-09	sgCD3E_sgGuide2	AR_689	5.97097108140408e-09	8.22395503218734	0.30065306830305	significant	8.22395503218734
sgCD3E_sgGuide2__ARID2_11	7.94031271603439e-30	sgCD3E_sgGuide2	ARID2_11	2.0140151787026e-29	28.6959372606931	0.612167728189258	significant	28.6959372606931
sgCD3E_sgGuide2__ARID3A_6	2.4604190361751e-112	sgCD3E_sgGuide2	ARID3A_6	2.14056456147233e-111	110.669471668896	1.47370300403194	significant	110.669471668896
sgCD3E_sgGuide2__ARID3B_8	0.0197473139961688	sgCD3E_sgGuide2	ARID3B_8	0.0228156217485616	1.64176769177012	0.144522530238461	non_significant	1.64176769177012
sgCD3E_sgGuide2__ARID3C_10	6.99208495854513e-30	sgCD3E_sgGuide2	ARID3C_10	1.79442888316645e-29	28.7460737489554	0.616283474021225	significant	28.7460737489554
sgCD3E_sgGuide2__ARID5A_9	0.273446509950456	sgCD3E_sgGuide2	ARID5A_9	0.285592393345614	0.544253364024782	0.0402303415269865	non_significant	0.544253364024782
sgCD3E_sgGuide2__ARID5B_7	1.131460978559e-15	sgCD3E_sgGuide2	ARID5B_7	2.09440649222623e-15	14.6789390245683	0.414386126571141	significant	14.6789390245683
sgCD3E_sgGuide2__ARNT2_76	2.45459327861786e-25	sgCD3E_sgGuide2	ARNT2_76	5.9155018071954e-25	24.2280084086266	-0.497843853656014	significant	-24.2280084086266
sgCD3E_sgGuide2__ARNT_57	2.62776640669071e-73	sgCD3E_sgGuide2	ARNT_57	1.29161399650899e-72	71.8888672574194	0.933857797112709	significant	71.8888672574194
sgCD3E_sgGuide2__ARNTL2_16	2.44428354653391e-73	sgCD3E_sgGuide2	ARNTL2_16	1.20825379857074e-72	71.9178418308295	1.00214743457095	significant	71.9178418308295
sgCD3E_sgGuide2__ARNTL_50	1.85129206153808e-71	sgCD3E_sgGuide2	ARNTL_50	8.89847565490677e-71	70.0506843833958	0.958460737662482	significant	70.0506843833958
sgCD3E_sgGuide2__ARX_394	0.0261039182155302	sgCD3E_sgGuide2	ARX_394	0.0297646249639728	1.5262995852138	0.0928282049425149	non_significant	1.5262995852138
sgCD3E_sgGuide2__ASCL1_843	9.25819716054926e-09	sgCD3E_sgGuide2	ASCL1_843	1.45128496030232e-08	7.83824730531814	0.308840737611097	significant	7.83824730531814
sgCD3E_sgGuide2__ASCL2_89	4.45010145684319e-10	sgCD3E_sgGuide2	ASCL2_89	7.1696079026918e-10	9.14450459473019	0.2713633068851	significant	9.14450459473019
sgCD3E_sgGuide2__ATF1_118	7.20058185850579e-111	sgCD3E_sgGuide2	ATF1_118	6.20248140287133e-110	109.207434529215	1.20067091565449	significant	109.207434529215
sgCD3E_sgGuide2__ATF2_114	1.10633891917898e-89	sgCD3E_sgGuide2	ATF2_114	6.98874897817545e-89	88.1556005582314	1.05163445236817	significant	88.1556005582314
sgCD3E_sgGuide2__ATF3_132	3.05849927297987e-90	sgCD3E_sgGuide2	ATF3_132	1.97103286480925e-89	88.7053061342765	1.10979669329979	significant	88.7053061342765
sgCD3E_sgGuide2__ATF4_122	0.243230912837786	sgCD3E_sgGuide2	ATF4_122	0.256809337583584	0.590389189375382	0.012109177149573	non_significant	0.590389189375382
sgCD3E_sgGuide2__ATF5_136	4.43272376199248e-05	sgCD3E_sgGuide2	ATF5_136	6.13111235760486e-05	4.21246072500135	-0.196666657753462	non_significant	-4.21246072500135
sgCD3E_sgGuide2__ATF6_116	8.11419633415901e-26	sgCD3E_sgGuide2	ATF6_116	1.966392983487e-25	24.706329684111	0.524454916010295	significant	24.706329684111
sgCD3E_sgGuide2__ATF6B_151	8.37408287723344e-39	sgCD3E_sgGuide2	ATF6B_151	2.41240135867321e-38	37.6175504356048	0.633737604691929	significant	37.6175504356048
sgCD3E_sgGuide2__ATF7_138	6.12866696697088e-52	sgCD3E_sgGuide2	ATF7_138	2.23093734780949e-51	50.6515126259881	0.815541331809405	significant	50.6515126259881
sgCD3E_sgGuide2__ATOH1_844	3.91373055946946e-48	sgCD3E_sgGuide2	ATOH1_844	1.35655202658902e-47	46.8675635454872	-1.00994368318365	significant	-46.8675635454872
sgCD3E_sgGuide2__ATOH7_84	0.00369062978085418	sgCD3E_sgGuide2	ATOH7_84	0.00448442445438985	2.34829328780874	-0.179237873253859	non_significant	-2.34829328780874
sgCD3E_sgGuide2__ATOH8_71	1.44983474295374e-10	sgCD3E_sgGuide2	ATOH8_71	2.38893224691242e-10	9.62179616720673	-0.389129553793147	significant	-9.62179616720673
sgCD3E_sgGuide2__BACH1_130	6.61838519999253e-248	sgCD3E_sgGuide2	BACH1_130	1.1515990247987e-245	244.938698711565	-9.26255368880406	significant	-244.938698711565
sgCD3E_sgGuide2__BACH2_113	3.94803041172404e-245	sgCD3E_sgGuide2	BACH2_113	3.1225331438181e-243	242.505492943154	-7.74660506425702	significant	-242.505492943154
sgCD3E_sgGuide2__BARHL1_456	1.04157558211466e-17	sgCD3E_sgGuide2	BARHL1_456	2.11722139355082e-17	16.6742337263121	0.45268986660293	significant	16.6742337263121
sgCD3E_sgGuide2__BARHL2_484	0.350884640160113	sgCD3E_sgGuide2	BARHL2_484	0.35998777940955	0.443712242080162	0.0176092386827921	non_significant	0.443712242080162
sgCD3E_sgGuide2__BARX1_468	8.70392578525511e-07	sgCD3E_sgGuide2	BARX1_468	1.26417619919398e-06	5.89819239044871	0.271668359438958	significant	5.89819239044871
sgCD3E_sgGuide2__BARX2_400	0.262531510955227	sgCD3E_sgGuide2	BARX2_400	0.275848326728318	0.559329646090371	-0.0507989612492625	non_significant	-0.559329646090371
sgCD3E_sgGuide2__BATF_129	1.25665475858118e-244	sgCD3E_sgGuide2	BATF_129	9.11074699971352e-243	242.040446013307	-6.97328805812592	significant	-242.040446013307
sgCD3E_sgGuide2__BATF3_120	1.96332225944587e-31	sgCD3E_sgGuide2	BATF3_120	5.17603141126639e-31	30.2860030967717	0.648622441872696	significant	30.2860030967717
sgCD3E_sgGuide2__BBX_753	3.38320445452134e-07	sgCD3E_sgGuide2	BBX_753	4.99726294640673e-07	6.3012677982122	-0.23271317620759	non_significant	-6.3012677982122
sgCD3E_sgGuide2__BCL11A_194	1.64667385136353e-55	sgCD3E_sgGuide2	BCL11A_194	6.3389657110012e-55	54.1979815974256	0.991243545601339	significant	54.1979815974256
sgCD3E_sgGuide2__BCL11B_825	1.64667385136353e-55	sgCD3E_sgGuide2	BCL11B_825	6.3389657110012e-55	54.1979815974256	0.991243545601339	significant	54.1979815974256
sgCD3E_sgGuide2__BCL6_187	0.0215951277156365	sgCD3E_sgGuide2	BCL6_187	0.0248187068858702	1.60522085003153	-0.0526915982674275	non_significant	-1.60522085003153
sgCD3E_sgGuide2__BCL6B_218	0.0695459408028286	sgCD3E_sgGuide2	BCL6B_218	0.0771747047174246	1.11252502352178	0.108714244324315	non_significant	1.11252502352178
sgCD3E_sgGuide2__BHLHA15_85	0.00155417085364432	sgCD3E_sgGuide2	BHLHA15_85	0.00193714705253662	2.71283740990499	-0.1642635283759	non_significant	-2.71283740990499
sgCD3E_sgGuide2__BHLHE22_86	7.14681103449885e-05	sgCD3E_sgGuide2	BHLHE22_86	9.62496222912384e-05	4.01660096610157	0.215343328575064	non_significant	4.01660096610157
sgCD3E_sgGuide2__BHLHE23_45	8.63194909136374e-09	sgCD3E_sgGuide2	BHLHE23_45	1.35555879232608e-08	7.86788164176547	-0.293499015477201	significant	-7.86788164176547
sgCD3E_sgGuide2__BHLHE40_51	1.47333842879521e-66	sgCD3E_sgGuide2	BHLHE40_51	6.81810868644591e-66	65.1663360800289	0.934185557750581	significant	65.1663360800289
sgCD3E_sgGuide2__BHLHE41_44	1.02907366617325e-56	sgCD3E_sgGuide2	BHLHE41_44	4.16415855614291e-56	55.3804727424788	0.727925133815412	significant	55.3804727424788
sgCD3E_sgGuide2__BPTF_812	2.13922284297138e-99	sgCD3E_sgGuide2	BPTF_812	1.64701227733195e-98	97.7833031634546	1.31268057805211	significant	97.7833031634546
sgCD3E_sgGuide2__BRCA1_319	1.562336275822e-12	sgCD3E_sgGuide2	BRCA1_319	2.68623035566234e-12	11.5708567474739	0.367039037267705	significant	11.5708567474739
sgCD3E_sgGuide2__BSX_559	4.08218303264194e-18	sgCD3E_sgGuide2	BSX_559	8.45595056761545e-18	17.0728375645221	0.462702088751633	significant	17.0728375645221
sgCD3E_sgGuide2__BX0885802_840	0.119867503558493	sgCD3E_sgGuide2	BX0885802_840	0.130355910119861	0.884869273860775	-0.0786370311303654	non_significant	-0.884869273860775
sgCD3E_sgGuide2__BX2846861_573	0.394062208009261	sgCD3E_sgGuide2	BX2846861_573	0.400039814431805	0.397896782853183	-0.061134372839798	non_significant	-0.397896782853183
sgCD3E_sgGuide2__BX9272396_589	0.394062208009261	sgCD3E_sgGuide2	BX9272396_589	0.400039814431805	0.397896782853183	-0.061134372839798	non_significant	-0.397896782853183
sgCD3E_sgGuide2__C11orf9_654	7.22207804769905e-05	sgCD3E_sgGuide2	C11orf9_654	9.71129505641139e-05	4.01272285059153	-0.182366571944873	non_significant	-4.01272285059153
sgCD3E_sgGuide2__C13orf38SOHLH2_823	3.36738044969717e-10	sgCD3E_sgGuide2	C13orf38SOHLH2_823	5.45553257213508e-10	9.26316284693639	0.313326383213457	significant	9.26316284693639
sgCD3E_sgGuide2__CBFB_801	9.94216095840747e-08	sgCD3E_sgGuide2	CBFB_801	1.48619931852483e-07	6.82792294216992	-0.500414686619576	significant	-6.82792294216992
sgCD3E_sgGuide2__CDC5L_646	1.88513748974801e-14	sgCD3E_sgGuide2	CDC5L_646	3.38857358694373e-14	13.4699830786955	0.405382221887475	significant	13.4699830786955
sgCD3E_sgGuide2__CDX1_435	5.59073030915255e-09	sgCD3E_sgGuide2	CDX1_435	8.81147711768608e-09	8.05495128224769	0.30998362589228	significant	8.05495128224769
sgCD3E_sgGuide2__CDX2_514	0.00192657339425566	sgCD3E_sgGuide2	CDX2_514	0.00239103973324169	2.62141320691048	0.14641434918228	non_significant	2.62141320691048
sgCD3E_sgGuide2__CDX4_467	2.8548337634544e-09	sgCD3E_sgGuide2	CDX4_467	4.54059483401339e-09	8.3428872492998	-0.307441621113096	significant	-8.3428872492998
sgCD3E_sgGuide2__CEBPA_155	1.76095093043223e-06	sgCD3E_sgGuide2	CEBPA_155	2.5406754717679e-06	5.59505080516665	0.225332433138554	non_significant	5.59505080516665
sgCD3E_sgGuide2__CEBPB_140	1.29236280004841e-29	sgCD3E_sgGuide2	CEBPB_140	3.26847568616895e-29	28.4856547413549	0.616003582201485	significant	28.4856547413549
sgCD3E_sgGuide2__CEBPD_152	0.262206239245006	sgCD3E_sgGuide2	CEBPD_152	0.275839695457262	0.559343235340966	0.0480981671198944	non_significant	0.559343235340966
sgCD3E_sgGuide2__CEBPE_107	8.81787963837528e-41	sgCD3E_sgGuide2	CEBPE_107	2.6272449607488e-40	39.5804994322989	0.673709768506053	significant	39.5804994322989
sgCD3E_sgGuide2__CEBPG_128	3.77377400674513e-13	sgCD3E_sgGuide2	CEBPG_128	6.59273772262703e-13	12.1809342013504	0.380304065639078	significant	12.1809342013504
sgCD3E_sgGuide2__CEBPZ_806	1.19490881736495e-169	sgCD3E_sgGuide2	CEBPZ_806	2.31015704690556e-168	167.636358495309	2.54306826564098	significant	167.636358495309
sgCD3E_sgGuide2__CENPB_289	2.75936610162992e-32	sgCD3E_sgGuide2	CENPB_289	7.3866107951324e-32	31.1315547836079	0.573505696558333	significant	31.1315547836079
sgCD3E_sgGuide2__CGBP_298	6.21135118582112e-29	sgCD3E_sgGuide2	CGBP_298	1.56181373747525e-28	27.8063707615023	0.545287862015552	significant	27.8063707615023
sgCD3E_sgGuide2__CIC_749	6.73290161599834e-65	sgCD3E_sgGuide2	CIC_749	3.01939402366936e-64	63.5200802088917	-1.03137880245656	significant	-63.5200802088917
sgCD3E_sgGuide2__CLOCK_53	0.000209161784949324	sgCD3E_sgGuide2	CLOCK_53	0.000272819719499118	3.56412424193294	0.195081842567597	non_significant	3.56412424193294
sgCD3E_sgGuide2__CPEB1_815	2.1577558869343e-54	sgCD3E_sgGuide2	CPEB1_815	8.09158457600363e-54	53.0919664221173	0.852541086501344	significant	53.0919664221173
sgCD3E_sgGuide2__CR3545653_702	8.69232388794766e-42	sgCD3E_sgGuide2	CR3545653_702	2.65344623947876e-41	40.57618970703	-0.775626637470806	significant	-40.57618970703
sgCD3E_sgGuide2__CR3882194_286	1.53161119596325e-08	sgCD3E_sgGuide2	CR3882194_286	2.37099953823492e-08	7.62506853060302	0.319611004846244	significant	7.62506853060302
sgCD3E_sgGuide2__CR3882292_837	0.119867503558493	sgCD3E_sgGuide2	CR3882292_837	0.130355910119861	0.884869273860775	-0.0786370311303654	non_significant	-0.884869273860775
sgCD3E_sgGuide2__CR7538031_135	8.37408287723344e-39	sgCD3E_sgGuide2	CR7538031_135	2.41240135867321e-38	37.6175504356048	0.633737604691929	significant	37.6175504356048
sgCD3E_sgGuide2__CR7597334_701	8.69232388794766e-42	sgCD3E_sgGuide2	CR7597334_701	2.65344623947876e-41	40.57618970703	-0.775626637470806	significant	-40.57618970703
sgCD3E_sgGuide2__CR7597843_285	1.53161119596325e-08	sgCD3E_sgGuide2	CR7597843_285	2.37099953823492e-08	7.62506853060302	0.319611004846244	significant	7.62506853060302
sgCD3E_sgGuide2__CR7598154_839	0.119867503558493	sgCD3E_sgGuide2	CR7598154_839	0.130355910119861	0.884869273860775	-0.0786370311303654	non_significant	-0.884869273860775
sgCD3E_sgGuide2__CR8124782_575	0.394062208009261	sgCD3E_sgGuide2	CR8124782_575	0.400039814431805	0.397896782853183	-0.061134372839798	non_significant	-0.397896782853183
sgCD3E_sgGuide2__CR8477943_864	0.119867503558493	sgCD3E_sgGuide2	CR8477943_864	0.130355910119861	0.884869273860775	-0.0786370311303654	non_significant	-0.884869273860775
sgCD3E_sgGuide2__CR9257962_153	8.37408287723344e-39	sgCD3E_sgGuide2	CR9257962_153	2.41240135867321e-38	37.6175504356048	0.633737604691929	significant	37.6175504356048
sgCD3E_sgGuide2__CR9338788_599	0.394062208009261	sgCD3E_sgGuide2	CR9338788_599	0.400039814431805	0.397896782853183	-0.061134372839798	non_significant	-0.397896782853183
sgCD3E_sgGuide2__CR9368773_703	8.69232388794766e-42	sgCD3E_sgGuide2	CR9368773_703	2.65344623947876e-41	40.57618970703	-0.775626637470806	significant	-40.57618970703
sgCD3E_sgGuide2__CREB1_117	2.54677319813513e-116	sgCD3E_sgGuide2	CREB1_117	2.28421926018305e-115	114.641262210883	1.31079679543544	significant	114.641262210883
sgCD3E_sgGuide2__CREB3_111	3.70219007402455e-61	sgCD3E_sgGuide2	CREB3_111	1.58665288886766e-60	59.7995180732059	0.860229507258231	significant	59.7995180732059
sgCD3E_sgGuide2__CREB3L1_131	4.55357727216341e-05	sgCD3E_sgGuide2	CREB3L1_131	6.2882733758447e-05	4.20146858607805	0.216637894114002	non_significant	4.20146858607805
sgCD3E_sgGuide2__CREB3L2_145	1.67506876823356e-49	sgCD3E_sgGuide2	CREB3L2_145	5.94820338107428e-49	48.2256141904917	0.770477257249672	significant	48.2256141904917
sgCD3E_sgGuide2__CREB3L3_104	3.70219007402455e-61	sgCD3E_sgGuide2	CREB3L3_104	1.58665288886766e-60	59.7995180732059	0.860229507258231	significant	59.7995180732059
sgCD3E_sgGuide2__CREB3L4_126	3.70219007402455e-61	sgCD3E_sgGuide2	CREB3L4_126	1.58665288886766e-60	59.7995180732059	0.860229507258231	significant	59.7995180732059
sgCD3E_sgGuide2__CREB5_127	4.76504602253283e-66	sgCD3E_sgGuide2	CREB5_127	2.18188949452819e-65	64.6611672487669	0.949421608879938	significant	64.6611672487669
sgCD3E_sgGuide2__CREM_108	2.59227549855306e-57	sgCD3E_sgGuide2	CREM_108	1.05881675293013e-56	55.9751791957731	0.818319670793453	significant	55.9751791957731
sgCD3E_sgGuide2__CRX_410	0.0233546255654503	sgCD3E_sgGuide2	CRX_410	0.0268054409524298	1.57177704418828	-0.0954176448692408	non_significant	-1.57177704418828
sgCD3E_sgGuide2__CSDA_828	1.69002232441497e-08	sgCD3E_sgGuide2	CSDA_828	2.59773749512548e-08	7.58540473708841	-0.289363722583115	significant	-7.58540473708841
sgCD3E_sgGuide2__CT4768282_585	6.82969027651074e-16	sgCD3E_sgGuide2	CT4768282_585	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__CTCF_177	5.39499102004629e-73	sgCD3E_sgGuide2	CTCF_177	2.63687763339341e-72	71.5789100235532	1.99167876344297	significant	71.5789100235532
sgCD3E_sgGuide2__CTCFL_198	5.46224304843742e-65	sgCD3E_sgGuide2	CTCFL_198	2.4622546384148e-64	63.6086670357508	1.47398413998184	significant	63.6086670357508
sgCD3E_sgGuide2__CUX1_294	0.000144667965313047	sgCD3E_sgGuide2	CUX1_294	0.000191278312799926	3.71833426763733	0.235129535398715	non_significant	3.71833426763733
sgCD3E_sgGuide2__CUX2_292	0.00443854166197517	sgCD3E_sgGuide2	CUX2_292	0.00536323784155332	2.27057294311081	-0.142409877007757	non_significant	-2.27057294311081
sgCD3E_sgGuide2__CXXC1_303	2.68012477911874e-20	sgCD3E_sgGuide2	CXXC1_303	5.873321304366e-20	19.2311162401078	0.459282708078632	significant	19.2311162401078
sgCD3E_sgGuide2__DBP_110	1.20085678971102e-138	sgCD3E_sgGuide2	DBP_110	1.45103528756748e-137	136.838322025874	1.77164517080825	significant	136.838322025874
sgCD3E_sgGuide2__DBX2_554	3.61511973107764e-07	sgCD3E_sgGuide2	DBX2_554	5.33076977294499e-07	6.27321007352431	0.197364580265995	non_significant	6.27321007352431
sgCD3E_sgGuide2__DDIT3_141	0.000294730759027822	sgCD3E_sgGuide2	DDIT3_141	0.000382139732271543	3.41777780499885	0.13220918301322	non_significant	3.41777780499885
sgCD3E_sgGuide2__DLX1_487	0.00736022949764357	sgCD3E_sgGuide2	DLX1_487	0.00873587948560697	2.05869336583633	-0.113046726216007	non_significant	-2.05869336583633
sgCD3E_sgGuide2__DLX2_438	6.40478542642478e-11	sgCD3E_sgGuide2	DLX2_438	1.06338994675373e-10	9.97330744980519	0.343465955695673	significant	9.97330744980519
sgCD3E_sgGuide2__DLX3_403	0.000202174491802959	sgCD3E_sgGuide2	DLX3_403	0.000264101813616478	3.57822861643441	0.176202179270402	non_significant	3.57822861643441
sgCD3E_sgGuide2__DLX4_429	0.000202174491802959	sgCD3E_sgGuide2	DLX4_429	0.000264101813616478	3.57822861643441	0.176202179270402	non_significant	3.57822861643441
sgCD3E_sgGuide2__DLX5_412	0.00197232519322338	sgCD3E_sgGuide2	DLX5_412	0.00244433464117428	2.61183933735478	-0.16769586445881	non_significant	-2.61183933735478
sgCD3E_sgGuide2__DLX6_397	5.07298937875448e-05	sgCD3E_sgGuide2	DLX6_397	6.92857262090486e-05	4.15935622667454	0.185607977844709	non_significant	4.15935622667454
sgCD3E_sgGuide2__DMBX1_560	3.19146810282358e-08	sgCD3E_sgGuide2	DMBX1_560	4.85415603051839e-08	7.31388626794968	0.270408712229133	significant	7.31388626794968
sgCD3E_sgGuide2__DMRT1_305	0.000696813488919462	sgCD3E_sgGuide2	DMRT1_305	0.000883713899941591	3.05368831393211	0.0927854929890419	non_significant	3.05368831393211
sgCD3E_sgGuide2__DMRT2_307	0.48723996485761	sgCD3E_sgGuide2	DMRT2_307	0.48723996485761	0.312257096801096	0.0258590335434555	non_significant	0.312257096801096
sgCD3E_sgGuide2__DMRT3_304	9.6192261111494e-06	sgCD3E_sgGuide2	DMRT3_304	1.3497946317258e-05	4.8697323034257	-0.203028671517747	non_significant	-4.8697323034257
sgCD3E_sgGuide2__DMRTA2_306	1.61460326761383e-05	sgCD3E_sgGuide2	DMRTA2_306	2.25474292588127e-05	4.64690296697254	0.176759196555143	non_significant	4.64690296697254
sgCD3E_sgGuide2__DMRTC2_852	0.458800396179638	sgCD3E_sgGuide2	DMRTC2_852	0.46252183624135	0.334867758848712	-0.000642821564861701	non_significant	-0.334867758848712
sgCD3E_sgGuide2__DNMT1_301	5.6840784352999e-47	sgCD3E_sgGuide2	DNMT1_301	1.93927381910232e-46	45.7123608656354	0.610226172161736	significant	45.7123608656354
sgCD3E_sgGuide2__DPRX_565	0.341788428896617	sgCD3E_sgGuide2	DPRX_565	0.351069578677753	0.454606801935363	0.0125385041393057	non_significant	0.454606801935363
sgCD3E_sgGuide2__DRGX_516	0.0298281850651885	sgCD3E_sgGuide2	DRGX_516	0.0338779647607232	1.47008268806202	-0.0912626448018685	non_significant	-1.47008268806202
sgCD3E_sgGuide2__DUX4_603	6.82969027651074e-16	sgCD3E_sgGuide2	DUX4_603	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__DUX4L2_580	6.82969027651074e-16	sgCD3E_sgGuide2	DUX4L2_580	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__DUX4L3_581	6.82969027651074e-16	sgCD3E_sgGuide2	DUX4L3_581	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__DUX4L5_578	6.82969027651074e-16	sgCD3E_sgGuide2	DUX4L5_578	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__DUX4L6_582	6.82969027651074e-16	sgCD3E_sgGuide2	DUX4L6_582	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__DUXA_564	3.36104668202057e-08	sgCD3E_sgGuide2	DUXA_564	5.10315988369616e-08	7.29216082486408	-0.187365530843996	non_significant	-7.29216082486408
sgCD3E_sgGuide2__E2F1_312	5.73690706430269e-39	sgCD3E_sgGuide2	E2F1_312	1.67486884092059e-38	37.7760191969225	0.708049502823797	significant	37.7760191969225
sgCD3E_sgGuide2__E2F2_311	2.05076371093892e-45	sgCD3E_sgGuide2	E2F2_311	6.80978789510253e-45	44.1668664148745	0.832506526619594	significant	44.1668664148745
sgCD3E_sgGuide2__E2F3_313	3.48308021602823e-47	sgCD3E_sgGuide2	E2F3_313	1.1977390466184e-46	45.9216377920957	0.845655301328627	significant	45.9216377920957
sgCD3E_sgGuide2__E2F4_318	1.07031294666947e-61	sgCD3E_sgGuide2	E2F4_318	4.70289022021432e-61	60.3276351588919	0.876459289594697	significant	60.3276351588919
sgCD3E_sgGuide2__E2F5_315	1.32500529386504e-63	sgCD3E_sgGuide2	E2F5_315	5.88140104929888e-63	62.2305192053014	0.817769690360511	significant	62.2305192053014
sgCD3E_sgGuide2__E2F6_317	3.87649215587148e-09	sgCD3E_sgGuide2	E2F6_317	6.14307500110781e-09	8.21161418232517	0.264627594705024	significant	8.21161418232517
sgCD3E_sgGuide2__E2F7_316	0.000855239229594717	sgCD3E_sgGuide2	E2F7_316	0.00108147983974913	2.96598157198755	0.192413159852925	non_significant	2.96598157198755
sgCD3E_sgGuide2__E2F8_314	0.278283106455833	sgCD3E_sgGuide2	E2F8_314	0.290295326878387	0.537159955305994	0.0788594454086122	non_significant	0.537159955305994
sgCD3E_sgGuide2__E4F1_234	9.98291092521829e-98	sgCD3E_sgGuide2	E4F1_234	7.48718319391372e-97	96.1256815405687	1.07980919782815	significant	96.1256815405687
sgCD3E_sgGuide2__EBF1_67	1.56594861037898e-119	sgCD3E_sgGuide2	EBF1_67	1.41914092815595e-118	117.847974474675	-1.74791489383005	significant	-117.847974474675
sgCD3E_sgGuide2__EGR1_195	6.71397400695962e-76	sgCD3E_sgGuide2	EGR1_195	3.47687939646123e-75	74.458810373556	-0.819927612240608	significant	-74.458810373556
sgCD3E_sgGuide2__EGR2_196	2.36815098705334e-124	sgCD3E_sgGuide2	EGR2_196	2.34124018038228e-123	122.630554031129	-1.38440887293254	significant	-122.630554031129
sgCD3E_sgGuide2__EGR3_259	2.23785607288087e-58	sgCD3E_sgGuide2	EGR3_259	9.18365463870921e-58	57.0369844567539	-0.74631683381413	significant	-57.0369844567539
sgCD3E_sgGuide2__EGR4_207	1.1931966983131e-74	sgCD3E_sgGuide2	EGR4_207	6.07064986861052e-74	73.2167648148153	-0.950101571108906	significant	-73.2167648148153
sgCD3E_sgGuide2__EHF_333	2.56351086974587e-197	sgCD3E_sgGuide2	EHF_333	8.92101782671563e-196	195.049585592787	2.39289100027243	significant	195.049585592787
sgCD3E_sgGuide2__ELF1_329	3.52870920903119e-209	sgCD3E_sgGuide2	ELF1_329	1.8058688305042e-207	206.743313797908	2.5120848172806	significant	206.743313797908
sgCD3E_sgGuide2__ELF2_326	8.71291414503127e-138	sgCD3E_sgGuide2	ELF2_326	1.02435612245638e-136	135.989549032491	1.71031664118565	significant	135.989549032491
sgCD3E_sgGuide2__ELF3_342	9.94102334661647e-180	sgCD3E_sgGuide2	ELF3_342	2.3374838679882e-178	177.631251377704	2.17456634256376	significant	177.631251377704
sgCD3E_sgGuide2__ELF4_323	5.2867507761193e-197	sgCD3E_sgGuide2	ELF4_323	1.76902814431684e-195	194.752265257636	2.31279008248303	significant	194.752265257636
sgCD3E_sgGuide2__ELF5_334	4.63723706259431e-214	sgCD3E_sgGuide2	ELF5_334	2.6895974963047e-212	211.570312708181	2.8423541718104	significant	211.570312708181
sgCD3E_sgGuide2__ELK1_331	1.71571739007508e-188	sgCD3E_sgGuide2	ELK1_331	4.66460665426663e-187	186.331184972514	2.12202312236701	significant	186.331184972514
sgCD3E_sgGuide2__ELK3_327	1.23552815212909e-187	sgCD3E_sgGuide2	ELK3_327	3.25730149197669e-186	185.487142041791	2.15968570131884	significant	185.487142041791
sgCD3E_sgGuide2__ELK4_341	1.15915219797145e-198	sgCD3E_sgGuide2	ELK4_341	4.20192671764651e-197	196.376551526037	2.37986666362523	significant	196.376551526037
sgCD3E_sgGuide2__EMX1_474	0.237516847431859	sgCD3E_sgGuide2	EMX1_474	0.251080993032463	0.600186162370912	-0.0359186805055299	non_significant	-0.600186162370912
sgCD3E_sgGuide2__EMX2_525	0.0579281260229687	sgCD3E_sgGuide2	EMX2_525	0.0648616082882661	1.18801228689864	-0.128624930157457	non_significant	-1.18801228689864
sgCD3E_sgGuide2__EN1_500	0.0664534194728386	sgCD3E_sgGuide2	EN1_500	0.073931553633465	1.13117016723206	0.118198605840719	non_significant	1.13117016723206
sgCD3E_sgGuide2__EN2_506	0.319259433992607	sgCD3E_sgGuide2	EN2_506	0.329484825116925	0.482164582647346	-0.053005437676387	non_significant	-0.482164582647346
sgCD3E_sgGuide2__ENO1_803	1.2628678039529e-06	sgCD3E_sgGuide2	ENO1_803	1.83115831573171e-06	5.73727410644849	-0.25796778774539	significant	-5.73727410644849
sgCD3E_sgGuide2__ENSG00000187728_92	0.000130754872652632	sgCD3E_sgGuide2	ENSG00000187728_92	0.000173145721777458	3.76158823487627	-0.228625893039053	non_significant	-3.76158823487627
sgCD3E_sgGuide2__ENSG00000215754_570	6.82969027651074e-16	sgCD3E_sgGuide2	ENSG00000215754_570	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__ENSG00000217642_571	6.82969027651074e-16	sgCD3E_sgGuide2	ENSG00000217642_571	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
sgCD3E_sgGuide2__ENSG00000224558_572	6.82969027651074e-16	sgCD3E_sgGuide2	ENSG00000224558_572	1.27507093145158e-15	14.8944656550095	-0.442840523675888	significant	-14.8944656550095
