T0-ATAC-rep1.proatac	T0-ATAC-rep2.proatac	T0-ATAC-rep3.proatac	T24H-ATAC-rep1.proatac	T24H-ATAC-rep2.proatac	T24H-ATAC-rep3.proatac
16	14	48	27	17	25
35	26	87	38	27	42
11	15	34	12	10	28
21	18	43	22	20	22
31	36	140	78	36	53
40	36	94	37	23	38
36	30	83	45	33	41
32	51	106	61	29	56
32	28	75	44	22	42
29	27	48	29	18	30
25	26	91	51	21	34
27	38	101	74	38	48
15	10	14	61	41	45
8	12	29	10	6	13
47	49	133	73	34	51
11	16	38	13	12	30
34	27	107	42	24	39
36	19	107	45	27	49
46	35	132	74	28	49
30	26	86	38	22	36
19	12	29	45	28	38
22	15	90	64	58	69
13	11	30	42	25	50
50	46	137	78	44	74
21	25	80	52	26	37
6	13	33	12	7	19
12	19	51	27	22	23
43	32	63	40	28	40
37	35	142	45	20	49
18	16	39	25	15	23
44	44	174	83	46	78
9	17	37	16	12	17
19	32	58	42	21	30
33	30	80	48	24	37
37	50	167	66	24	75
19	24	49	23	14	22
20	17	63	35	17	31
20	24	29	29	12	18
18	24	39	30	20	30
9	8	18	13	11	28
16	19	33	17	13	25
23	24	46	30	20	20
32	26	47	36	17	31
22	25	70	18	15	28
20	33	144	46	12	38
11	9	27	15	11	6
16	18	25	15	9	18
52	52	210	67	40	75
9	9	13	25	20	29
23	18	43	16	17	26
17	44	57	29	30	38
48	35	152	61	28	51
22	25	61	24	22	23
18	16	47	30	22	22
25	23	57	25	22	24
18	20	62	26	20	29
19	19	69	33	19	28
38	35	103	49	29	41
17	12	59	20	23	25
14	9	34	9	7	14
16	13	32	5	4	18
9	7	27	10	9	13
17	5	13	23	11	20
49	49	189	91	52	76
25	39	94	37	25	30
26	31	70	13	12	20
24	35	73	22	16	26
39	38	113	71	23	61
36	31	78	30	23	38
18	24	38	13	11	17
24	18	25	35	15	28
23	24	47	28	21	25
35	38	88	39	25	36
26	30	95	52	24	46
26	27	75	28	16	33
34	25	98	45	23	39
68	60	334	108	61	123
50	38	247	85	50	89
30	36	104	59	38	48
25	28	52	32	22	35
20	21	49	29	21	34
24	14	61	41	11	17
13	20	38	20	15	26
37	44	233	85	44	82
17	14	29	7	15	9
40	45	103	62	29	43
15	18	53	11	19	18
17	8	24	24	10	30
45	41	171	61	41	64
14	21	44	55	28	40
16	17	48	60	24	41
23	31	69	35	26	39
36	28	147	49	29	56
26	21	127	26	17	39
58	36	249	77	36	91
25	28	69	23	18	35
5	10	45	14	16	10
39	29	160	76	49	72
24	28	140	50	29	42
3	8	25	8	8	10
33	22	69	48	20	41
32	39	114	70	33	44
36	45	95	63	28	56
42	35	141	56	44	56
50	52	108	82	35	79
34	45	172	72	49	55
19	35	94	20	18	36
36	33	184	89	49	71
14	18	79	47	34	65
30	30	70	48	19	36
22	30	67	28	38	33
19	13	85	28	29	22
43	46	171	58	26	62
18	17	60	28	18	27
18	16	53	26	8	25
15	25	37	15	14	26
26	41	155	53	48	62
40	38	102	67	35	51
47	43	118	64	29	65
28	36	89	16	10	17
19	25	48	14	13	17
9	13	32	8	15	16
10	6	6	28	13	17
8	9	8	21	11	17
21	24	46	26	25	25
37	40	136	69	24	53
9	18	33	12	12	25
18	14	30	23	15	28
43	52	85	41	34	39
30	32	51	40	20	32
62	55	216	103	49	101
43	26	105	64	37	55
11	19	17	20	29	19
44	26	90	24	28	38
26	31	76	17	19	26
35	24	55	35	29	41
24	25	47	31	20	23
13	23	38	30	14	26
17	23	29	19	18	21
11	15	21	36	21	33
13	8	25	27	13	22
36	45	141	61	35	60
25	29	39	50	25	32
8	6	25	7	10	17
49	42	223	77	44	78
16	9	39	23	23	33
21	13	65	26	17	28
46	42	163	69	25	80
25	34	47	27	26	24
24	19	33	31	22	31
26	36	84	37	35	40
39	28	53	41	38	32
19	15	65	15	17	24
15	19	38	23	18	18
24	26	62	32	20	36
6	7	15	24	6	17
4	7	17	23	7	16
25	36	95	40	30	41
22	34	101	44	21	58
15	20	47	35	21	26
9	16	41	30	16	30
11	14	29	32	23	36
19	17	38	27	20	25
10	10	38	18	17	20
51	53	151	68	30	59
54	45	145	63	38	71
33	25	88	45	19	40
28	35	77	30	25	30
45	43	78	57	25	57
24	18	83	32	12	37
28	29	89	38	24	41
36	22	83	39	24	27
25	24	97	39	13	47
23	27	44	25	18	21
18	23	59	32	18	30
33	44	126	60	18	78
19	21	42	13	24	15
21	33	96	48	32	53
65	38	183	94	42	86
24	33	73	44	19	27
15	16	53	15	18	21
36	52	87	27	27	27
36	45	98	50	25	44
47	31	99	50	23	46
27	24	40	22	13	25
19	23	51	15	14	27
48	42	246	85	48	98
10	21	44	31	18	16
12	9	18	24	19	17
12	7	8	28	14	22
47	45	188	60	34	59
49	62	229	102	39	77
22	17	44	36	16	28
34	28	60	33	23	25
23	29	65	28	23	35
18	24	32	38	16	29
10	13	19	41	37	67
14	19	35	26	24	30
37	42	135	68	31	72
14	11	25	17	18	19
28	27	56	36	20	20
33	32	110	60	31	62
21	22	52	42	24	52
5	1	8	44	25	30
23	25	75	61	36	70
22	39	109	50	32	42
28	28	102	39	25	47
60	53	269	88	55	97
22	20	124	13	14	20
30	29	70	52	23	40
24	18	61	20	13	26
9	8	28	15	5	16
24	35	44	39	24	37
39	32	69	43	28	37
25	18	28	20	13	22
24	42	65	51	29	41
50	56	94	57	30	63
15	20	40	24	13	35
27	34	92	60	26	55
15	12	12	21	10	14
17	21	52	54	29	55
15	5	32	17	8	21
13	8	7	22	11	8
14	16	30	21	12	24
25	19	85	28	14	45
27	27	73	54	40	50
26	26	45	41	28	37
14	16	14	28	14	26
26	30	64	38	15	42
20	25	107	36	32	38
20	22	83	45	27	46
53	37	113	50	32	36
37	38	244	57	44	104
17	14	46	13	9	18
22	24	52	41	23	38
4	14	26	6	2	7
13	14	27	20	7	15
16	14	30	18	19	28
35	19	66	21	13	26
18	13	56	20	17	21
48	42	155	64	33	79
13	21	42	24	23	18
4	5	12	19	7	9
37	35	100	34	22	34
26	19	48	27	20	27
25	27	45	62	24	43
22	33	116	65	31	59
28	27	38	30	13	21
27	39	95	63	35	51
54	37	135	77	30	67
40	28	92	54	38	44
22	30	43	46	19	32
16	22	42	24	19	15
52	54	210	90	41	94
43	35	120	57	27	69
29	23	58	20	12	22
19	20	53	24	14	30
36	37	150	36	36	51
57	58	321	92	48	104
16	8	47	12	14	12
12	12	12	43	27	35
23	34	50	32	23	30
45	50	130	70	44	65
19	30	35	25	11	24
18	24	29	17	14	17
18	30	62	24	21	34
14	22	29	15	17	15
10	27	76	20	15	19
16	21	69	26	18	38
13	25	21	46	26	41
23	25	45	39	24	31
57	55	288	122	53	91
18	28	105	77	52	85
29	29	83	42	21	40
11	10	24	20	12	26
32	9	39	35	22	14
28	19	87	37	19	50
41	39	123	59	34	44
21	23	33	28	16	22
15	13	36	39	20	36
41	44	110	86	30	63
28	26	83	58	43	66
29	32	54	62	29	47
35	35	86	52	39	54
26	18	55	19	30	27
42	35	118	55	35	60
15	21	26	19	21	27
14	15	31	13	19	18
23	27	81	42	41	53
47	38	206	99	57	82
34	42	94	69	28	55
39	35	153	83	48	69
30	30	154	55	27	54
19	20	14	29	15	30
28	38	145	60	29	51
20	17	37	38	30	31
34	23	137	53	30	65
6	12	18	95	51	62
16	13	20	70	27	49
18	20	26	42	12	38
8	9	1	21	28	35
25	22	71	25	22	37
6	17	38	17	10	27
52	38	178	70	39	54
43	53	124	57	46	62
12	17	22	10	9	4
19	17	32	9	10	22
35	39	95	67	29	50
30	25	57	30	24	39
14	20	23	16	10	16
20	17	59	25	15	30
19	33	40	37	17	20
31	33	143	59	22	71
25	24	125	98	52	112
23	21	116	25	19	45
16	20	40	72	30	50
14	15	42	16	16	24
16	18	33	16	10	27
7	15	11	31	11	19
20	35	92	53	27	41
12	13	64	14	14	17
30	22	65	35	23	26
18	22	20	28	13	17
35	26	79	55	29	38
13	14	28	15	18	23
13	22	35	18	9	22
24	20	28	27	11	22
49	41	172	39	26	53
31	33	109	53	43	48
20	15	41	22	14	32
31	30	114	39	21	32
20	15	44	10	12	13
31	25	98	24	28	32
28	26	79	32	27	31
27	35	69	40	20	40
9	17	37	18	17	16
16	30	78	44	29	48
15	14	29	14	19	24
20	20	72	35	30	38
58	42	224	107	53	96
13	9	20	29	18	33
13	17	41	13	15	26
34	30	86	38	28	42
23	14	30	20	15	28
16	8	31	13	12	10
37	41	153	60	26	48
6	8	22	21	20	20
15	15	50	30	14	34
49	45	169	72	33	76
13	8	8	29	19	26
26	22	73	27	26	48
32	29	56	41	18	37
17	14	45	25	11	33
13	7	9	17	10	10
34	41	102	53	27	47
35	20	87	54	31	45
34	26	66	10	20	29
32	36	216	47	26	65
22	18	71	21	15	30
21	27	60	14	13	23
33	24	80	47	41	68
30	18	49	73	48	70
10	24	34	26	13	22
25	28	34	28	20	32
21	25	61	39	20	50
26	21	90	39	37	45
21	22	55	39	18	33
17	22	38	23	13	29
41	33	134	71	32	53
37	34	144	62	34	42
28	23	153	19	19	42
9	13	36	8	13	17
45	39	79	38	26	36
39	33	94	27	29	34
14	12	47	23	19	26
47	54	192	85	54	78
13	9	25	5	12	32
71	44	195	92	53	86
23	20	71	47	22	51
23	14	48	51	16	25
37	44	105	54	28	43
15	14	27	22	8	12
20	15	21	40	17	25
19	15	39	27	21	30
16	9	9	30	14	15
11	10	12	40	28	34
27	27	51	77	26	53
17	20	35	32	8	20
15	17	15	45	20	30
7	18	28	70	32	46
15	14	40	36	23	47
14	19	17	34	22	50
16	18	21	39	20	27
7	8	10	58	27	44
24	24	79	39	14	37
20	24	75	27	12	29
30	23	131	46	29	52
6	10	10	22	13	15
52	39	115	61	31	64
7	8	14	27	12	23
5	10	30	8	7	14
43	27	95	70	31	60
19	22	28	32	16	24
45	40	139	68	36	69
36	50	227	58	39	45
4	6	22	12	12	13
26	35	154	51	29	47
8	9	16	28	17	25
49	56	213	93	47	121
44	32	58	54	20	38
55	54	222	94	45	101
17	13	50	24	12	24
39	57	86	65	25	54
28	25	115	54	28	55
8	13	29	14	6	17
17	18	73	26	25	21
31	36	129	69	33	67
16	22	50	30	15	24
27	25	67	36	33	48
11	8	31	27	10	16
56	54	237	90	50	84
20	14	35	20	12	21
32	32	117	41	26	47
18	20	40	14	17	14
19	37	39	24	17	22
27	33	128	71	37	63
18	38	56	81	41	50
25	24	65	40	32	42
18	18	30	23	16	25
13	22	53	35	17	30
11	16	49	34	17	34
54	44	208	114	52	122
41	40	103	76	42	81
10	11	26	14	14	21
12	21	20	16	15	12
59	46	197	85	44	83
32	27	137	63	35	72
39	41	132	54	33	43
31	30	52	37	21	26
43	35	102	69	34	62
25	19	72	35	18	37
13	16	28	12	9	30
33	33	127	62	27	51
20	13	25	8	21	26
31	37	93	37	30	53
21	21	42	22	14	32
